fit,slope,slope_err,intercept_mT,intercept_err_mT,chi2_dof,method,points
coil calibration B(I),4.162019106477253,0.001340889798716152,-0.008079726735113802,0.0011131263530074003,0.0014055169610700336,ODR,21
low-field B(H),0.2878090120898622,0.031428917792713694,0.010829188525658338,0.004194483568294827,0.01139571659294768,ODR,9
high-field B(H),0.862559804704997,0.007667793008679542,-0.17277358260244124,0.032219736829881856,0.2102899211671744,ODR,12
