time_s,hall_voltage_V,coil_current_A,raw_B_mT,source_file,H_mT,B_mT,removed_by_cleaning,coil_current_err_A,raw_B_err_mT,H_fit_err_mT,H_calibration_err_mT,H_err_mT,B_fit_err_mT,B_offset_err_mT,B_err_mT
3539.860931158066,5.24013718e-08,2.188561e-05,0.00107160805331,first_phase_change_2026.05.17T11.42.56.xlsx,9.108832697690962e-05,0.009151334788423802,False,0.00040006512913144264,0.08201290450667383,0.0016650787112803536,2.9346191187680205e-08,0.0016650787115389597,0.08201290450667383,0.0011131263530074003,0.0820204581546492
3620.997672080994,1.07627009e-07,2.262502e-05,0.0022009723340499,first_phase_change_2026.05.17T11.42.56.xlsx,9.416576552442997e-05,0.010280699069163702,False,0.0004000669776083192,0.08201307347187646,0.0016650864046764318,3.0337658513748915e-08,0.001665086404952806,0.08201307347187646,0.0011131263530074003,0.08202062710429106
3720.54331111908,9.35471708e-07,2.283754e-05,0.0191303964285999,first_phase_change_2026.05.17T11.42.56.xlsx,9.505027782493852e-05,0.0272101231637137,False,0.0004000675088944878,0.08201560629841168,0.0016650886158996164,3.062262441377207e-08,0.0016650886161812064,0.08201560629841168,0.0011131263530074003,0.0820231596975746
2215.819358110428,-4.775558e-07,2.664524e-05,-0.00976601611,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,0.00011089799797667196,-0.0016862893748861973,False,0.0004000770278966769,0.08201420528490545,0.0016651282341686021,3.5728330500343566e-08,0.00166512823455191,0.08201420528490545,0.0011131263530074003,0.08202175881308796
3547.419671058655,1.5576399e-06,0.02588043,0.031853735955,first_phase_change_2026.05.17T11.42.56.xlsx,0.10771484414384708,0.0399334626901138,False,0.00046471004125098154,0.08201750984907755,0.0019341320706584174,3.470280457338746e-05,0.0019344433699115297,0.08201750984907755,0.0011131263530074003,0.08202506307294918
2252.851052045822,1.86810915e-06,0.03183184,0.0382028321174999,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,0.13248472627432686,0.0462825588526137,False,0.00047958828808624315,0.08201845974334841,0.001996055618257661,4.268298953036476e-05,0.001996511925527424,0.08201845974334841,0.0011131263530074003,0.08202601287975067
3564.394439220428,2.80326095e-06,0.04137361,0.0573266864274999,first_phase_change_2026.05.17T11.42.56.xlsx,0.17219775532393833,0.0654064131626137,False,0.0005034423014219543,0.08202132088159222,0.002095336477527054,5.5477451585060576e-05,0.0020960707768798875,0.08202132088159222,0.0011131263530074003,0.08202887375454375
2266.739343166351,2.79872213e-06,0.05126704,0.0572338675585,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,0.21337440001253358,0.0653135942936138,False,0.0005281754888510952,0.08202130699487066,0.0021982764761712213,6.874345094637292e-05,0.0021993510696875517,0.08202130699487066,0.0011131263530074003,0.08202885986910081
3594.690023183823,3.70691593e-06,0.0568502,0.0758064307685,first_phase_change_2026.05.17T11.42.56.xlsx,0.2366116186070531,0.08388615750361379,False,0.0005421331857427503,0.08202408565441757,0.002256368677316708,7.622985323497298e-05,0.0022576559964928612,0.08202408565441757,0.0011131263530074003,0.08203163827280904
3613.68222117424,3.887374e-06,0.06652571,0.0794967982999999,first_phase_change_2026.05.17T11.42.56.xlsx,0.27688127609196483,0.08757652503511369,False,0.0005663216324687845,0.08202463777401146,0.00235704145474647,8.92036458913491e-05,0.002358728833468075,0.08202463777401146,0.0011131263530074003,0.08203219034156986
3770.090887069702,5.53434566e-06,0.07228255,0.1131773687469999,first_phase_change_2026.05.17T11.42.56.xlsx,0.3008413541648973,0.1212570954821137,False,0.0005807135501251663,0.08202967675888717,0.002416940891011178,9.69229339201902e-05,0.0024188834874300175,0.08202967675888717,0.0011131263530074003,0.0820372288625431
3650.93890619278,5.79397814e-06,0.08781349,0.118486852963,first_phase_change_2026.05.17T11.42.56.xlsx,0.36548142318644916,0.1265665796981138,False,0.0006195404504515496,0.08203047111644288,0.002578539192014873,0.00011774821293066283,0.002581226260211429,0.08203047111644288,0.0011131263530074003,0.08203802314697331
