time_s,hall_voltage_V,coil_current_A,raw_B_mT,removed_by_cleaning,fit_B_mT,residual_B_mT,coil_current_err_A,raw_B_err_mT,current_equiv_B_err_mT,combined_B_err_mT
1271.003871202469,-4.85303785e-07,2.068662e-05,-0.00992446240325,False,-0.007993628627425368,-0.0019308337758246318,0.00040006213173447805,0.08201422899019929,0.0016650662360569173,0.0820311294718493
1361.16588306427,6.14834598e-06,0.0317156,0.125733675291,False,0.12392120643827613,0.0018124688527238614,0.00047929769335386266,0.08203155532126957,0.0019948461574292517,0.08205580710478887
1369.805666208267,1.01550339e-05,0.05108234,0.207670443255,False,0.2045259483484534,0.0031444949065466132,0.000527713745753847,0.08204381397380674,0.0021963546925781903,0.08207320747542535
1401.861911058426,2.23873726e-05,0.1111612,0.45782176967,False,0.45457531156382536,0.0032464581061746323,0.0006779091463775462,0.08208123945566627,0.002821470819679032,0.0821297179354996
1410.986297130585,2.90732288e-05,0.1460671,0.59454752896,False,0.5998543342926097,-0.005306805332609743,0.0007651731954096379,0.08210169522090399,0.0031846654590591654,0.08216343744167678
1432.626075029373,4.05584418e-05,0.2003787,0.82942013481,False,0.8259002511959597,0.00351988361404032,0.0009009513747527642,0.08213683495875145,0.003749776835727952,0.08222238432056647
1447.096121072769,5.2258349e-05,0.2577354,1.06868323705,False,1.0646199324804435,0.004063304569556392,0.0010443424897587877,0.08217263164738865,0.004346573396082099,0.0822875087248663
1485.854608058929,6.10683527e-05,0.3019146,1.248847812715,False,1.2484946069893232,0.000353205725676764,0.0011547901081649355,0.08219958652649473,0.004806258494153395,0.08233997902501139
1502.08443903923,8.21014826e-05,0.4065481,1.67897531917,False,1.683981233166911,-0.005005913996910971,0.0014163731917889422,0.08226393917886209,0.005894972286127747,0.08247488337353218
1510.239038228989,0.000101664975,0.5011778,2.07904873875,False,2.0778318526071216,0.001216886142878515,0.001652947020752203,0.08232379558405072,0.006879597082365321,0.08261075096729395
1517.022058010101,0.000120799763,0.5958903,2.47035515335,False,2.4720270872293484,-0.0016719338793484972,0.0018897279549041962,0.08238234054410372,0.00786508385435545,0.08275693069200137
1531.475375175476,0.000140043333,0.6907425,2.86388615985,False,2.86680375592075,-0.0029175960707501503,0.0021268582090721035,0.08244121855106601,0.008852024502926086,0.08291509424697674
1541.084393024445,0.000166055698,0.8179879,3.3958390241,False,3.3964015419320903,-0.0005625178320904922,0.0024449714541786363,0.08252080684133545,0.010176017907082956,0.08314586521403376
1561.674512147903,0.00018560057,0.914943,3.7955316565,False,3.799930520602503,-0.004398864102503008,0.0026873590504693607,0.08258060723648346,0.011184839714018046,0.08333461064272527
1567.407447099686,0.000205183392,1.010001,4.1960003664,False,4.1955637328260185,0.00043663357398138203,0.00292500392449986,0.08264052396829279,0.012173922220289365,0.08353239242341638
1575.078464031219,0.000224433666,1.105111,4.5896684697,False,4.591413370043069,-0.0017449003430689558,0.003162778817407184,0.08269942343423359,0.013163545867610229,0.08374051335024967
1582.830221176147,0.000243923182,1.200349,4.9882290719,False,4.987795745705751,0.000433326194249517,0.003400873725175574,0.08275905512036986,0.014154501422897208,0.08396077128604297
1590.500645160675,0.000263567163,1.297601,5.3899484833499995,False,5.392560427848876,-0.002611944498876362,0.003644003643431162,0.08281915964237647,0.015166412788033217,0.08419639707687293
1596.233851194382,0.000283168225,1.3929,5.79079020125,False,5.789196686677052,0.001593514572948429,0.003882251073260633,0.08287913306751582,0.016158003143052574,0.0844395154154374
1601.081448078156,0.000302560372,1.488276,6.1873596073999995,False,6.186153420976426,0.0012061864235732855,0.004120691011157392,0.0829384674926203,0.017150394720326135,0.08469312504027363
1606.81268119812,0.0003093751,1.520797,6.326720795,False,6.321506444338173,0.005214350661827183,0.0042019934915929575,0.0829593186631438,0.017488777197302952,0.08478269800442742
