time_s,hall_voltage_V,coil_current_A,raw_B_mT,removed_by_cleaning
1271.003871202469,-4.85303785e-07,2.068662e-05,-0.00992446240325,False
1361.16588306427,6.14834598e-06,0.0317156,0.125733675291,False
1369.805666208267,1.01550339e-05,0.05108234,0.207670443255,False
1401.861911058426,2.23873726e-05,0.1111612,0.45782176967,False
1410.986297130585,2.90732288e-05,0.1460671,0.59454752896,False
1432.626075029373,4.05584418e-05,0.2003787,0.82942013481,False
1447.096121072769,5.2258349e-05,0.2577354,1.06868323705,False
1485.854608058929,6.10683527e-05,0.3019146,1.248847812715,False
1502.08443903923,8.21014826e-05,0.4065481,1.67897531917,False
1510.239038228989,0.000101664975,0.5011778,2.07904873875,False
1517.022058010101,0.000120799763,0.5958903,2.47035515335,False
1531.475375175476,0.000140043333,0.6907425,2.86388615985,False
1541.084393024445,0.000166055698,0.8179879,3.3958390241,False
1561.674512147903,0.00018560057,0.914943,3.7955316565,False
1567.407447099686,0.000205183392,1.010001,4.1960003664,False
1575.078464031219,0.000224433666,1.105111,4.5896684697,False
1582.830221176147,0.000243923182,1.200349,4.9882290719,False
1590.500645160675,0.000263567163,1.297601,5.3899484833499995,False
1596.233851194382,0.000283168225,1.3929,5.79079020125,False
1601.081448078156,0.000302560372,1.488276,6.1873596073999995,False
1606.81268119812,0.0003093751,1.520797,6.326720795,False
